ARTICULO|DESCRIPCION|NOMBRE
541101|Cocina con horno|cocina_horno
541102|Horno a microondas|microondas
541103|Heladera sin freezer|hel_nofreezer
541104|Heladera con freezer|hel_freezer
541105|Freezer|freezer
541106|Lavavajilla|lavavajilla
541107|Multiprocesadora|multiprocesadora
541201|Cámara fotográfica digital|camara_dig
541202|Computadora conectada a Internet|comp_internet
541203|Computadora sin Internet|comp_nointernet
541204|DVD|dvd
541205|Televisor|tv
541206|Video cámara digital|video_digital
541207|Video casetera/reproductora|vhs
541301|Aspiradora|aspiradora
541302|Estufa a gas tiro balanceado|estufa_tiro
541303|Extractor de aire/purificador|extractor
541304|Lavarropa automático|lavarropa_aut
541305|Lavarropa no automático|lavarropa
541306|Teléfono celular|celular
541307|Teléfono inalámbrico|telefono
541308|Termotanque|termotanque
541401|Automóvil|auto
541402|Camioneta|camioneta
541403|Bicicleta|bicicleta
